Company,Landed Date,Capital Investment,Incentivized Jobs, New Jobs ,Project Type,County,County Tier,FJTAP,FIDP,ED,Grants Total
"McNeilus Steel, Inc.",4/23/2019,"$18,830,000 ",72,72,Recruitment,Hamblen,3,"$700,000 ",,,"$700,000 "
"West Fraser, Inc.",2/28/2023,"$8,425,000 ",140,140,Expansion,Shelby,2,"$700,000 ",,,"$700,000 "
"Toyota Boshoku Tennessee, LLC",12/4/2017,"$31,924,872 ",139,139,Expansion,Madison,2,,,"$695,000 ","$695,000 "
Eurotranciatura USA LLC,7/26/2016,"$12,550,000 ",173,173,Expansion New Location,Henry,3,"$42,000 ",,"$650,000 ","$692,000 "
Sunrise Medical (US) LLC,9/30/2023,"$9,645,520 ",113,113,Expansion,Wilson,1,"$678,000 ",,,"$678,000 "
Exel Inc. d/b/a DHL Supply Chain (USA),12/31/2016,"$81,798,125 ",655,655,Expansion New Location,Shelby,2,"$655,000 ",,,"$655,000 "
"Private National Mortgage Acceptance Company, LLC",1/27/2022,"$3,933,310 ",325,325,Recruitment,Williamson,1,"$650,000 ",,,"$650,000 "
"StonePeak Ceramic, Inc.",9/12/2018,"$70,000,000 ",28,161,Expansion,Cumberland,3,"$650,000 ",,,"$650,000 "
Pyramex Safety Products,5/31/2017,"$15,000,000 ",27,27,Expansion New Location,Fayette,1,,"$631,285 ",,"$631,285 "
Amaero International Ltd,7/14/2023,"$54,900,000 ",105,105,Recruitment,Bradley,2,,,"$625,000 ","$625,000 "
Design Team Sign Company,2/28/2018,"$11,315,552 ",125,125,Expansion,Hardin,3,,,"$625,000 ","$625,000 "
"Global Track Manufacturing USA, INC.",10/15/2019,"$2,000,000 ",0,250,Expansion,Gibson,2,"$625,000 ",,,"$625,000 "
"Howmet Castings & Services, Inc. (a subsidiary of Howmet Aerospace Inc.)",5/31/2019,"$77,400,000 ",125,125,Expansion,Hamblen,3,"$625,000 ",,,"$625,000 "
SpecialtyCare,3/15/2018,"$12,262,500 ",0,124,Expansion New Location,Williamson,1,"$620,000 ",,,"$620,000 "
"Chattanooga Seating Systems, LLC",8/17/2016,"$5,395,000 ",190,190,Expansion,Hamilton,1,"$611,652 ",,,"$611,652 "
"Captive-Aire Systems, Inc.",2/28/2022,"$24,600,000 ",113,113,Recruitment,Greene,3,,,"$610,200 ","$610,200 "
Leclerc Foods Tennessee LLC,12/6/2016,"$48,998,221 ",105,105,Expansion,Sullivan,2,"$105,000 ",,"$500,000 ","$605,000 "
"Accurate Energetic Systems, LLC",2/24/2020,"$9,700,000 ",80,80,Expansion,Humphreys,2,,,"$601,000 ","$601,000 "
Arvin Sango Inc.,12/12/2019,"$49,000,000 ",153,153,Expansion,Chester,3,,"$600,000 ",,"$600,000 "
"Daejin Advanced Materials USA, Inc.",9/27/2022,"$10,200,000 ",83,83,Recruitment,Stewart,2,,,"$600,000 ","$600,000 "
"Duksan Electera America, Inc.",7/27/2022,"$94,624,389 ",101,101,Recruitment,Bedford,2,,,"$600,000 ","$600,000 "
FreightWaves,10/11/2018,"$3,894,125 ",72,260,Expansion,Hamilton,1,"$600,000 ",,,"$600,000 "
"Frito-Lay, Inc.",11/6/2020,"$100,000,000 ",100,100,Expansion,Giles,2,"$600,000 ",,,"$600,000 "
Q&B FOODS Inc,11/9/2022,"$65,189,000 ",85,85,Recruitment,Montgomery,1,,,"$600,000 ","$600,000 "
Walgreens (HQ),6/30/2021,"$30,000,000 ",200,200,Recruitment,Shelby,2,"$600,000 ",,,"$600,000 "
"Advanced Correctional Healthcare, Inc.",4/21/2021,"$2,500,000 ",58,58,Recruitment,Williamson,1,"$580,000 ",,,"$580,000 "
Fitzgerald Collision & Repair LLC,6/29/2017,"$8,000,000 ",51,145,Expansion,Overton,3,"$580,000 ",,,"$580,000 "
Jost International Corp,11/30/2021,"$6,042,415 ",164,164,Expansion,Greene,3,"$574,000 ",,,"$574,000 "
"Digital Reasoning Systems, Inc.",5/18/2016,"$861,500 ",36,189,Expansion,Williamson,1,"$567,000 ",,,"$567,000 "
"Lochinvar, LLC.",8/31/2022,"$20,835,200 ",141,40,Expansion,Wilson,1,"$564,000 ",,,"$564,000 "
Allied Dispatch Solutions,2/12/2018,"$452,000 ",110,112,Recruitment,Hancock,4,"$560,000 ",,,"$560,000 "
Wall Innovations LLC,2/18/2022,"$6,424,800 ",72,72,Recruitment,Hardeman,4,,,"$555,408 ","$555,408 "
Craig Manufacturing Ltd.,10/5/2018,"$6,400,000 ",80,80,Recruitment,Lawrence,3,,,"$551,000 ","$551,000 "
"Schwarz Partners, L.P.",1/31/2020,"$44,000,000 ",83,83,Expansion New Location,Bradley,2,,"$550,000 ",,"$550,000 "
"Tenneco, Inc.",8/11/2016,"$32,491,000 ",200,200,Expansion New Location,Maury,1,"$200,000 ",,"$330,230 ","$530,230 "
Nippon Steel & Sumikin Materials USA Ltd.,1/12/2016,"$5,700,000 ",65,65,Recruitment,Lincoln,1,,,"$530,000 ","$530,000 "
Teknor Apex Tennessee Company,1/25/2017,"$32,200,000 ",50,50,Expansion New Location,Haywood,4,,"$529,200 ",,"$529,200 "
"Otics USA, Inc.",3/2/2023,"$147,000,000 ",70,70,Expansion,Hamblen,3,"$525,000 ",,,"$525,000 "
Green Mountain Technology,8/31/2019,"$5,462,000 ",62,104,Expansion,Shelby,2,"$520,000 ",,,"$520,000 "
"Old Hickory Smokehouse, Inc.",7/31/2017,"$4,250,000 ",120,120,Expansion,Marshall,2,"$120,000 ","$140,667 ","$250,000 ","$510,667 "
"KaTom Restaurant Supply, Inc.",2/3/2017,"$2,950,000 ",100,100,Expansion,Sevier,2,"$150,000 ",,"$359,725 ","$509,725 "
Mersen USA Holding Corp.,11/12/2019,"$64,900,000 ",101,101,Recruitment,Maury,1,,"$505,000 ",,"$505,000 "
"AGC Flat Glass North America, Inc.",1/10/2018,"$40,600,328 ",85,85,Expansion,Hawkins,4,,,"$500,000 ","$500,000 "
Arrive Logistics,3/21/2019,"$3,600,000 ",27,500,Expansion,Hamilton,1,"$500,000 ",,,"$500,000 "
ATC Drivetrain,3/16/2022,"$8,342,110 ",218,218,Recruitment,Knox,1,,,"$500,000 ","$500,000 "
ATN Hoelzel LP,8/6/2019,"$2,015,000 ",100,100,Expansion New Location,Hamilton,1,"$500,000 ",,,"$500,000 "
"AutoZone Texas, LLC",10/19/2020,"$42,000,000 ",45,45,Expansion,Henderson,3,,,"$500,000 ","$500,000 "
"Avant, LLC",12/20/2017,"$2,050,000 ",250,250,Recruitment,Blount,1,"$500,000 ",,,"$500,000 "
"Aviagen, Inc.",7/16/2020,"$35,300,000 ",36,36,Expansion New Location,Bledsoe,4,,,"$500,000 ","$500,000 "
"Elo Touch Solutions, Inc",8/31/2021,"$13,165,000 ",61,61,Expansion New Location,Knox,1,,,"$500,000 ","$500,000 "
Groove Life Corp,7/21/2020,"$1,890,000 ",76,76,Expansion,Maury,1,,,"$500,000 ","$500,000 "
Kairos Power,7/16/2021,"$100,000,000 ",55,55,Recruitment,Roane,2,,,"$500,000 ","$500,000 "
"Mars Chocolate North America, LLC",10/5/2018,"$142,700,000 ",79,79,Expansion,Bradley,2,"$500,000 ",,,"$500,000 "
Miyake Forging North America,6/7/2017,"$13,652,000 ",60,60,Expansion New Location,Hawkins,4,,,"$500,000 ","$500,000 "
"New Balance Athletics, Inc.",10/18/2022,"$68,461,703 ",154,154,Recruitment,Wilson,1,,,"$500,000 ","$500,000 "
"Oshkosh Manufacturing, LLC",12/31/2022,"$2,020,000 ",0,122,Expansion,Jefferson,2,"$500,000 ",,,"$500,000 "
"Precision Military Aerodynamics, LLC",7/29/2016,"$1,850,000 ",100,100,Expansion,Sequatchie,4,"$250,000 ",,"$250,000 ","$500,000 "
The ICEE Company,2/27/2019,"$10,103,086 ",207,207,Recruitment,Rutherford,1,"$500,000 ",,,"$500,000 "
Wacker Polysilicon North America LLC,12/14/2016,"$150,000,000 ",50,50,Expansion,Bradley,2,"$500,000 ",,,"$500,000 "
"Woodmack Products, Inc.",8/24/2020,"$3,850,000 ",72,72,Expansion New Location,Rhea,4,,,"$500,000 ","$500,000 "
Copperweld Bimetallics LLC,7/31/2022,"$27,000,000 ",162,162,Expansion,Lincoln,1,"$486,000 ",,,"$486,000 "
Hunter Fan Company,10/31/2022,"$7,601,232 ",50,50,Expansion,Shelby,2,"$475,000 ",,,"$475,000 "
Armada Nutrition LLC,10/24/2016,"$2,050,000 ",246,310,Recruitment,Maury,1,"$465,000 ",,,"$465,000 "
"Team Technologies, Inc",7/26/2017,"$6,015,000 ",160,160,Expansion,Hamblen,3,"$64,000 ",,"$400,000 ","$464,000 "
"Gestamp Chattanooga, LLC",9/30/2018,"$34,754,526 ",90,90,Expansion,Hamilton,1,"$450,000 ",,,"$450,000 "
Hitachi Zosen Inova USA LLC,11/9/2022,"$6,584,000 ",90,90,Expansion,Knox,1,"$450,000 ",,,"$450,000 "
Nearest Green Distillery Inc.,5/31/2021,"$20,500,000 ",108,108,Expansion,Bedford,2,,,"$450,000 ","$450,000 "
"ServiceSource Delaware, Inc.",8/31/2017,"$1,098,000 ",20,450,Expansion,Davidson,1,"$450,000 ",,,"$450,000 "
"Ventcon, Inc.",8/23/2022,"$6,680,000 ",75,75,Recruitment,Madison,2,"$450,000 ",,,"$450,000 "
Olympus Surgical Technologies America,1/28/2016,"$500,000 ",109,131,Expansion New Location,Shelby,2,"$446,304 ",,,"$446,304 "
The Gap Inc.,6/9/2017,"$41,683,203 ",509,509,Expansion,Sumner,1,"$441,812 ",,,"$441,812 "
"Agero, Inc.",3/4/2016,"$3,500,000 ",585,585,Expansion New Location,Sullivan,2,"$438,750 ",,,"$438,750 "
DaVita Inc.,5/31/2018,"$11,200,000 ",59,145,Expansion,Williamson,1,"$435,000 ",,,"$435,000 "
"Akzo Nobel Coatings, Inc.",1/24/2017,"$10,010,000 ",148,171,Expansion,Davidson,1,"$427,500 ",,,"$427,500 "
"Homeland Vinyl Products, Inc.",5/12/2017,"$4,395,200 ",105,50,Expansion,Hawkins,4,"$25,000 ",,"$400,000 ","$425,000 "
A.O. Smith Corporation - American Water Heater Company,7/31/2022,"$17,582,600 ",106,26,Expansion,Washington,1,"$424,000 ",,,"$424,000 "
Eurotranciatura USA LLC,6/30/2016,"$5,000,000 ",106,106,Expansion,Henry,3,"$24,000 ",,"$400,000 ","$424,000 "
US Smokeless Tobacco Company,5/31/2017,"$30,700,000 ",106,106,Expansion,Davidson,1,"$424,000 ",,,"$424,000 "
Marvin Windows and Doors Of Tennessee,1/31/2023,"$14,700,000 ",157,157,Expansion,Lauderdale,4,"$423,900 ",,,"$423,900 "
Agilent Technologies,12/15/2017,"$700,000 ",117,121,Recruitment,Shelby,2,"$275,500 ",,"$148,000 ","$423,500 "
"Permobil, Inc.",3/28/2022,"$15,500,000 ",70,70,Expansion,Wilson,1,,,"$420,000 ","$420,000 "
Sparks Custom Fabrication,12/20/2016,"$500,000 ",54,138,Expansion,McNairy,4,"$414,000 ",,,"$414,000 "
"Innovate Manufacturing, Inc.",1/31/2023,"$6,791,754 ",102,102,Expansion,Knox,1,"$408,000 ",,,"$408,000 "
IGT Solutions,8/25/2021,"$3,913,000 ",202,202,Expansion New Location,Knox,1,"$404,000 ",,,"$404,000 "
"NSK Steering Systems, Inc.",2/29/2016,"$37,550,000 ",109,109,Expansion,Dyer,2,,"$401,390 ",,"$401,390 "
"CCL Label, Inc.",3/17/2016,"$9,906,995 ",51,130,Expansion,Shelby,2,"$400,000 ",,,"$400,000 "
Genuine Parts Company,11/17/2020,"$50,000,000 ",250,250,Expansion New Location,Wilson,1,"$400,000 ",,,"$400,000 "
"Mid-America Apartments, LP",12/31/2016,"$6,500,000 ",100,100,Expansion,Shelby,2,,,"$400,000 ","$400,000 "
Pottery Direct International Inc.,9/21/2018,"$8,350,000 ",44,44,Recruitment,Carroll,4,,,"$400,000 ","$400,000 "
Pringles Manufacturing Company,7/31/2020,"$200,000,000 ",80,80,Expansion,Madison,2,"$400,000 ",,,"$400,000 "
"Republic Doors and Frames, LLC",11/14/2017,"$4,462,000 ",62,70,Expansion,Carroll,4,"$400,000 ",,,"$400,000 "
Riviana Foods Inc.,11/30/2022,"$80,608,000 ",80,80,Expansion,Shelby,2,"$400,000 ",,,"$400,000 "
"Safari Enterprises, LLC",5/24/2021,"$7,500,000 ",0,85,Recruitment,Macon,3,,,"$400,000 ","$400,000 "
Sylvamo,9/30/2021,"$11,500,000 ",50,50,New Startup,Shelby,2,,,"$400,000 ","$400,000 "
"Toyota Boshoku Tennessee, LLC",3/23/2023,"$54,400,000 ",80,80,Expansion,Madison,2,,,"$400,000 ","$400,000 "
Smart USA Co.,7/7/2021,"$2,242,929 ",100,128,Recruitment,Davidson,1,"$390,625 ",,,"$390,625 "
Maplehurst Bakeries LLC,10/26/2018,"$53,500,000 ",109,90,Expansion,Wilson,1,"$390,000 ",,,"$390,000 "
"BMT Manufacturing, LLC",7/5/2018,"$1,763,000 ",100,100,Expansion New Location,Campbell,4,,,"$383,000 ","$383,000 "
Arcosa Marine Products,11/5/2018,"$12,800,000 ",234,301,Expansion,Cheatham,1,"$376,250 ",,,"$376,250 "
"Unitech North America, LLC",1/12/2024,"$30,009,000 ",75,75,Recruitment,Warren,4,"$375,000 ",,,"$375,000 "
"Dutch Tech, Inc.",9/28/2023,"$755,000 ",73,73,Expansion,Perry,4,"$374,928 ",,,"$374,928 "
"United Parcel Service, Inc.",8/31/2020,"$220,481,898 ",105,105,Expansion,Shelby,2,"$367,500 ",,,"$367,500 "
Kroger Fulfillment Network LLC,7/14/2022,"$3,602,000 ",181,181,Recruitment,Davidson,1,"$362,000 ",,,"$362,000 "
Miller Greeneville Inc.,3/29/2021,"$15,467,298 ",79,79,Expansion,Greene,3,"$355,500 ",,,"$355,500 "
"Aphena Pharma Solutions - Tennessee, LLC",4/30/2017,"$7,402,575 ",150,150,Expansion,Putnam,2,"$350,400 ",,,"$350,400 "
Diakonia Group LLC,5/31/2023,"$2,400,000 ",70,70,Expansion New Location,Williamson,1,"$350,000 ",,,"$350,000 "
"Documotion Research, Inc.",1/26/2021,"$9,250,000 ",80,80,Recruitment,Maury,1,,,"$350,000 ","$350,000 "
"Pantos USA, Inc.",11/2/2020,"$33,390,000 ",62,62,Expansion New Location,Montgomery,1,,,"$350,000 ","$350,000 "
"Parker Trutec MMI, Inc.",3/25/2022,"$12,075,000 ",48,48,Expansion New Location,Sevier,2,,,"$350,000 ","$350,000 "
S Bravo Systems,7/22/2019,"$2,880,000 ",83,83,Recruitment,Henderson,3,"$30,000 ",,"$320,000 ","$350,000 "
"Takahata Precision America, Inc.",12/13/2017,"$9,707,995 ",81,81,Expansion,Scott,4,"$50,000 ",,"$300,000 ","$350,000 "
"Integrated Biometric Technology, LLC",7/26/2021,"$2,310,600 ",58,142,New Startup,Williamson,1,"$348,000 ",,,"$348,000 "
Vi-Jon LLC,7/21/2021,"$45,364,000 ",64,64,Expansion,Rutherford,1,"$345,000 ",,,"$345,000 "
Hardcoat Technologies LLC,10/21/2022,"$6,598,000 ",85,85,Expansion,Knox,1,"$340,000 ",,,"$340,000 "
Cabinets to Go,12/18/2017,"$6,500,000 ",67,67,Expansion,Lawrence,3,"$335,000 ",,,"$335,000 "
"Franke Foodservice Systems Americas, Inc.",8/30/2017,"$11,600,000 ",61,67,Expansion,Rutherford,1,"$335,000 ",,,"$335,000 "
Roadtec Inc,6/30/2017,$0 ,39,335,Expansion,Hamilton,1,"$335,000 ",,,"$335,000 "
Accenture LLP,1/13/2020,"$5,800,000 ",165,165,Expansion New Location,Davidson,1,"$330,000 ",,,"$330,000 "
"Smile Direct Club, LLC",2/7/2017,"$4,500,000 ",439,439,Expansion,Davidson,1,"$330,000 ",,,"$330,000 "
A.O. Smith Corporation,8/31/2022,"$37,346,500 ",82,82,Expansion,Cheatham,1,"$328,000 ",,,"$328,000 "
"Prisma Nashville, LLC",5/11/2022,"$11,965,081 ",109,109,Expansion,Davidson,1,"$327,000 ",,,"$327,000 "
"Parker Hannifin Corp, Copper Products Div",3/31/2016,"$6,463,000 ",50,50,Expansion,Weakley,3,"$25,000 ",,"$300,000 ","$325,000 "
CMH Manufacturing Inc.,4/22/2019,"$14,220,000 ",108,108,Expansion New Location,Sumner,1,"$324,000 ",,,"$324,000 "
MSS Steel Tubes USA LLC,2/8/2023,"$6,000,000 ",129,129,Recruitment,Shelby,2,"$322,500 ",,,"$322,500 "
Stony Creek Colors,3/28/2016,"$7,173,350 ",50,50,Recruitment,Robertson,1,,,"$321,896 ","$321,896 "
Dongwha Electrolyte USA Inc,2/27/2023,"$70,300,000 ",68,68,Recruitment,Montgomery,1,,,"$320,000 ","$320,000 "
Planet H20 LLC,5/31/2016,"$10,000,000 ",48,48,New Startup,Perry,4,,"$319,200 ",,"$319,200 "
Telos Global,8/26/2016,"$32,055,000 ",63,63,New Startup,Campbell,4,"$315,000 ",,,"$315,000 "
Wind River Custom Homes LLC,11/7/2023,"$2,550,000 ",77,77,Expansion New Location,Bradley,2,"$308,000 ",,,"$308,000 "
The Gap Inc.,3/22/2021,"$83,139,000 ",601,601,Expansion,Sumner,1,"$300,500 ",,,"$300,500 "
"Chick-fil-A Supply, LLC",2/17/2022,"$16,300,000 ",45,45,Expansion New Location,Davidson,1,"$300,000 ",,,"$300,000 "
"Colonial Chemical, Inc",4/11/2021,"$13,815,000 ",44,44,Expansion,Marion,3,,,"$300,000 ","$300,000 "
Columbiad Fabrication and Aviation LLC,5/3/2022,"$4,800,000 ",144,144,Expansion New Location,Henry,3,,,"$300,000 ","$300,000 "
FCR Sparta LLC,6/29/2017,"$1,000,000 ",59,75,New Startup,White,3,"$300,000 ",,,"$300,000 "
Nile Automotive Group,3/31/2016,"$2,574,870 ",53,53,Expansion,Grundy,4,"$50,000 ",,"$250,000 ","$300,000 "
Seaman Corporation,7/12/2023,"$30,000,000 ",58,58,Expansion New Location,Sullivan,2,,,"$300,000 ","$300,000 "
"Tri-City Extrusion, Inc.",5/5/2022,"$30,805,900 ",51,51,Expansion New Location,Sullivan,2,,,"$300,000 ","$300,000 "
V&F Transformer Corporation,1/27/2017,"$1,415,000 ",48,48,Expansion,Clay,4,,,"$300,000 ","$300,000 "
Tsubaki USA,8/15/2017,"$35,850,000 ",70,70,Expansion New Location,Sumner,1,"$70,000 ","$229,382 ",,"$299,382 "
"American Stave Company, LLC",6/14/2023,"$30,000,000 ",85,85,Expansion New Location,Overton,3,"$295,290 ",,,"$295,290 "
MECO Corporation,5/24/2023,"$27,842,000 ",67,67,Expansion,Greene,3,"$294,197 ",,,"$294,197 "
Oak Crest Lumber,2/28/2017,"$5,944,000 ",73,73,Expansion,Cocke,4,"$92,000 ",,"$200,000 ","$292,000 "
"Alphatec Spine, Inc.",4/30/2021,"$3,500,000 ",95,95,Recruitment,Shelby,2,"$285,000 ",,,"$285,000 "
Jones Plastics & Engineering Corporation,12/28/2016,"$4,530,000 ",52,52,Expansion,Benton,4,,,"$285,000 ","$285,000 "
Whisper Aero Inc,8/3/2021,"$7,500,000 ",47,47,New Startup,Cumberland,3,"$282,000 ",,,"$282,000 "
Welch Packaging Corporation,8/9/2018,"$4,000,000 ",39,39,Expansion,Henderson,3,,"$281,704 ",,"$281,704 "
"Surface Dynamics, LLC",8/19/2019,"$9,867,390 ",111,111,Expansion,Shelby,2,"$277,500 ",,,"$277,500 "
StarLEDGREEN,3/7/2018,"$1,028,000 ",50,50,Recruitment,Johnson,4,,,"$275,000 ","$275,000 "
"Ascent Buildings, LLC",5/17/2021,"$4,900,000 ",122,122,Recruitment,Sumner,1,"$274,500 ",,,"$274,500 "
"BRS Offroad, LLC",4/6/2021,"$655,500 ",50,115,New Startup,Lewis,4,"$270,000 ",,,"$270,000 "
DHL Supply Chain (USA),10/31/2020,"$53,991,898 ",268,268,Expansion New Location,Shelby,2,"$268,000 ",,,"$268,000 "
Troxel Company,1/31/2016,"$3,784,000 ",177,177,Expansion,Fayette,1,"$265,500 ",,,"$265,500 "
United States Stove Company,3/31/2016,"$4,200,000 ",78,78,Expansion,Marion,3,,,"$264,176 ","$264,176 "
"United Parcel Service, Inc.",8/31/2016,"$132,073,845 ",105,105,Expansion,Davidson,1,"$262,500 ",,,"$262,500 "
"Covenant Transport Solutions, LLC",4/2/2019,"$2,958,500 ",130,130,Expansion,Hamilton,1,"$260,000 ",,,"$260,000 "
PeroxyChem,3/31/2018,"$14,000,000 ",14,26,Expansion New Location,Shelby,2,"$260,000 ",,,"$260,000 "
Vonore Fiber Products LLC,9/30/2019,"$81,050,000 ",57,57,Expansion,Monroe,3,"$256,500 ",,,"$256,500 "
"Simon & Schuster, Inc.",4/30/2019,"$2,350,000 ",83,255,Expansion New Location,Gibson,2,"$255,000 ",,,"$255,000 "
Universal Music Publishing Group,6/30/2017,"$1,595,000 ",57,85,Recruitment,Davidson,1,"$255,000 ",,,"$255,000 "
"Henderson Stamping & Production, Inc.",10/8/2019,"$13,452,000 ",52,52,Expansion New Location,Chester,3,,"$250,314 ",,"$250,314 "
3D Systems,5/25/2016,"$2,960,004 ",83,83,Expansion,Lawrence,3,,,"$250,000 ","$250,000 "
"A. Y. McDonald, Inc.",7/31/2018,"$8,055,000 ",36,36,Expansion,Carter,4,,,"$250,000 ","$250,000 "
Brown-Forman Corporation,2/10/2016,"$140,000,000 ",30,30,Expansion,Moore,1,,,"$250,000 ","$250,000 "
Duracell Manufacturing LLC,4/4/2023,"$25,221,699 ",25,25,Expansion,Bradley,2,,,"$250,000 ","$250,000 "
Gorman Woodyard LLC.,1/29/2020,"$1,500,000 ",46,46,Expansion,Humphreys,2,,"$250,000 ",,"$250,000 "
Holcim Participations (US) Inc.,10/7/2021,"$13,000,000 ",28,28,Expansion New Location,Davidson,1,,,"$250,000 ","$250,000 "
"JTEKT Automotive Tennessee - Vonore, LLC",2/1/2016,"$218,450,000 ",50,50,Expansion,Monroe,3,,,"$250,000 ","$250,000 "
"Love's Truck Solutions, LLC",7/10/2019,"$8,850,000 ",52,52,Expansion New Location,Gibson,2,"$250,000 ",,,"$250,000 "
"Modern Forge Of Tennessee, Inc",6/30/2021,"$7,742,000 ",52,52,Expansion,Sullivan,2,,,"$250,000 ","$250,000 "
"Roadtec, Inc.",5/12/2021,"$6,175,000 ",128,128,Expansion,Hamilton,1,,,"$250,000 ","$250,000 "
"Ultimate Linings, LLC",3/29/2022,"$31,096,043 ",50,50,Recruitment,Wilson,1,,,"$250,000 ","$250,000 "
"United Hydrogen Cryogenics of Tennessee, LLC",9/30/2017,"$28,553,270 ",25,25,New Startup,Bradley,2,"$50,000 ","$200,000 ",,"$250,000 "
"Van Hool TN Manufacturing, LLC",4/12/2018,"$47,000,000 ",636,640,Recruitment,Hamblen,3,,"$250,000 ",,"$250,000 "
"Supply Wizard, LLC",4/30/2023,"$3,090,000 ",49,147,New Startup,Warren,4,"$249,900 ",,,"$249,900 "
Quality Building Supply LLC,11/30/2022,"$1,686,475 ",43,43,Expansion,Perry,4,"$249,400 ",,,"$249,400 "
AeroCustom Inc.,7/9/2020,"$890,000 ",62,62,Recruitment,Hardin,3,"$248,000 ",,,"$248,000 "
"Macy's, Inc.",2/9/2022,"$128,300,000 ",49,49,Expansion,Robertson,1,"$245,000 ",,,"$245,000 "
Advanced Design Solutions Inc.,5/22/2019,"$10,027,000 ",179,179,Recruitment,Lawrence,3,"$242,083 ",,,"$242,083 "
"Flexco Products of Tennessee, Inc",2/27/2024,"$17,500,000 ",60,60,Recruitment,Lawrence,3,"$240,000 ",,,"$240,000 "
"IMC Companies, LLC",11/30/2019,"$18,300,000 ",34,34,Expansion New Location,Shelby,2,"$238,000 ",,,"$238,000 "
Identity Group Holdings Corp,3/31/2023,"$2,109,000 ",59,59,Expansion,Putnam,2,"$236,000 ",,,"$236,000 "
Medici XD LLC,1/31/2023,"$7,000,000 ",29,29,Recruitment,Davidson,1,"$232,000 ",,,"$232,000 "
"Taxi Workhorse Holdings, LLC.",1/31/2023,"$2,500,000 ",77,77,Expansion,Greene,3,"$231,000 ",,,"$231,000 "
"Bottlers Company International, LLC",2/1/2023,"$9,510,000 ",57,57,Expansion New Location,Warren,4,"$230,000 ",,,"$230,000 "
"Sanford, LP",1/31/2020,"$11,084,660 ",115,115,Expansion,Bedford,2,,,"$230,000 ","$230,000 "
"Agero, Inc.",6/30/2020,"$2,000,000 ",900,900,Expansion,Montgomery,1,"$225,000 ",,,"$225,000 "
Campbell Arms Manufacturing,6/30/2017,"$887,500 ",50,50,New Startup,Carroll,4,"$25,000 ",,"$200,000 ","$225,000 "
"Engineered Medical Systems, LLC",4/30/2020,"$13,324,000 ",60,60,Expansion,Shelby,2,"$225,000 ",,,"$225,000 "
"Engineered Medical Systems, LLC",9/30/2022,"$12,000,000 ",60,60,Expansion,Shelby,2,"$225,000 ",,,"$225,000 "
"ERMCO, Inc.",9/30/2016,$0 ,150,150,Expansion,Dyer,2,"$225,000 ",,,"$225,000 "
"ERMCO, Inc.",9/30/2017,$0 ,150,150,Expansion,Dyer,2,"$225,000 ",,,"$225,000 "
Flex-N-Gate Rockford LLC,6/29/2021,"$5,495,742 ",91,91,Expansion,Blount,1,,,"$225,000 ","$225,000 "
Thompson Appalachian Hardwoods,11/30/2017,"$9,270,000 ",28,28,Expansion,Franklin,2,,"$225,000 ",,"$225,000 "
Tri Star Spirits LLC,4/20/2021,"$20,175,000 ",58,58,Expansion New Location,Blount,1,,,"$225,000 ","$225,000 "
"Monogram Refrigeration, LLC",6/30/2019,"$4,088,000 ",30,30,Expansion,McNairy,4,,"$222,500 ",,"$222,500 "
Sole Supports,2/4/2016,"$500,000 ",54,54,Expansion New Location,Lewis,4,,"$216,000 ",,"$216,000 "
Dorman Products,3/23/2018,"$58,000,000 ",0,214,Expansion,Robertson,1,"$214,000 ",,,"$214,000 "
Technology Lab,1/4/2024,"$1,848,000 ",71,71,Expansion,Davidson,1,"$213,000 ",,,"$213,000 "
FAIST Light Metals,2/22/2016,"$3,100,000 ",21,30,Expansion,Lauderdale,4,"$110,000 ",,"$100,000 ","$210,000 "
Impact Outsourcing Solutions,2/29/2016,"$1,525,000 ",284,284,Recruitment,Wilson,1,"$210,000 ",,,"$210,000 "
Sparta Metal Processing LLC,11/30/2023,"$12,363,415 ",52,52,Expansion,White,3,"$208,000 ",,,"$208,000 "
"Cupples J&J Company, Inc.",9/30/2021,"$9,780,000 ",115,115,Expansion,Madison,2,"$207,000 ",,,"$207,000 "
Advance Auto Parts,1/6/2016,"$24,500,000 ",205,205,Recruitment,Rutherford,1,"$205,000 ",,,"$205,000 "
RGE USA Inc.,9/30/2016,"$4,175,250 ",41,41,Expansion,Cocke,4,,,"$205,000 ","$205,000 "
C-Wood Lumber,1/31/2017,"$2,121,000 ",15,15,Expansion,Wayne,4,,"$204,470 ",,"$204,470 "
"Advanced Plating, Inc.",12/4/2018,"$4,000,000 ",200,200,Expansion New Location,Sumner,1,"$200,000 ",,,"$200,000 "
Ampro Industries Inc.,9/30/2020,"$6,000,000 ",50,25,Expansion,Shelby,2,"$200,000 ",,,"$200,000 "
"AZZ, Inc.",6/30/2018,"$9,650,000 ",110,110,Expansion New Location,Hamilton,1,"$200,000 ",,,"$200,000 "
Bongard's Creameries,7/18/2017,"$35,000,000 ",91,95,Expansion,Gibson,2,"$200,000 ",,,"$200,000 "
"Brushy Mountain Group, LLC",9/30/2016,"$7,200,005 ",47,47,New Startup,Morgan,4,,,"$200,000 ","$200,000 "
"Colortech, Inc.",1/31/2019,"$14,500,000 ",28,28,Expansion,Hamblen,3,"$100,000 ","$100,000 ",,"$200,000 "
"CRM Co., LLC",1/31/2022,"$10,000,000 ",100,100,Recruitment,Coffee,2,"$200,000 ",,,"$200,000 "
